"","SYMBOL","ENTREZID"
"1","ABCB1","5243"
"2","AURKA","6790"
"3","AURKB","9212"
"4","BARD1","580"
"5","BIRC5","332"
"6","BRCA1","672"
"7","BRCA2","675"
"8","BTK","695"
"9","BUB1B","701"
"10","CARD11","84433"
"11","CAV1","857"
"12","CCL2","6347"
"13","CCNA2","890"
"14","CCNB1","891"
"15","CCND2","894"
"16","CCNE1","898"
"17","CD19","930"
"18","CD27","939"
"19","CD34","947"
"20","CD36","948"
"21","CD44","960"
"22","CDC14A","8556"
"23","CDC20","991"
"24","CDC25A","993"
"25","CDC25C","995"
"26","CDC45","8318"
"27","CDC6","990"
"28","CDC7","8317"
"29","CDCA5","113130"
"30","CDCA7","83879"
"31","CDCA8","55143"
"32","CDK1","983"
"33","CDKN2A","1029"
"34","CDKN2B","1030"
"35","CDKN2B-AS1","100048912"
"36","CEACAM5","1048"
"37","CFTR","1080"
"38","CHEK1","1111"
"39","CHEK2","11200"
"40","CSF3","1440"
"41","CTLA4","1493"
"42","CXCL12","6387"
"43","CYTOR","112597"
"44","E2F1","1869"
"45","EGF","1950"
"46","ENG","2022"
"47","EPCAM","4072"
"48","ERBB4","2066"
"49","EZH2","2146"
"50","FANCD2","2177"
"51","FAT1","2195"
"52","FGF2","2247"
"53","FGFR2","2263"
"54","FOS","2353"
"55","FOXP3","50943"
"56","GAS5","60674"
"57","GATA1","2623"
"58","GATA2","2624"
"59","H19","283120"
"60","HBB","3043"
"61","HNF1A","6927"
"62","HOTAIR","100124700"
"63","HTR1A","3350"
"64","IDH2","3418"
"65","IFNG","3458"
"66","IL1B","3553"
"67","IL2RA","3559"
"68","IL6","3569"
"69","IL7R","3575"
"70","JAK3","3718"
"71","JUN","3725"
"72","KCNQ1OT1","10984"
"73","LHCGR","3973"
"74","LINC-ROR","100885779"
"75","MCM4","4173"
"76","MEG3","55384"
"77","MET","4233"
"78","MIR126","406913"
"79","MIR205","406988"
"80","MIR221","407006"
"81","MIR222","407007"
"82","MITF","4286"
"83","MKI67","4288"
"84","MMP9","4318"
"85","MUC16","94025"
"86","MUC3A","4584"
"87","MUC4","4585"
"88","MYCN","4613"
"89","NEAT1","283131"
"90","NFKBIA","4792"
"91","NRG1","3084"
"92","PAX5","5079"
"93","PCNA","5111"
"94","PECAM1","5175"
"95","PGR","5241"
"96","PIK3R1","5295"
"97","PLK1","5347"
"98","PPARG","5468"
"99","PVT1","5820"
"100","RAD51","5888"
"101","RET","5979"
"102","RGCC","28984"
"103","SKP2","6502"
"104","SLC4A1","6521"
"105","TCL6","27004"
"106","TERT","7015"
"107","TFRC","7037"
"108","TGFBR2","7048"
"109","THY1","7070"
"110","TP63","8626"
"111","UCA1","652995"
"112","VIM","7431"
"113","XIST","7503"
